0.31416,0.98865-0.0014073i,0.97743
0.46721,0.97494-0.0030662i,0.95052
0.62026,0.95595-0.0052909i,0.91388
0.77332,0.93178-0.0080008i,0.86828
0.92637,0.90253-0.011094i,0.81468
1.0794,0.86834-0.01445i,0.75422
1.2325,0.82938-0.017932i,0.6882
1.3855,0.78585-0.021386i,0.61801
1.5386,0.73795-0.024647i,0.54518
1.6916,0.68594-0.02754i,0.47127
1.8447,0.63009-0.029884i,0.3979
1.9977,0.57068-0.031491i,0.32667
2.1508,0.50805-0.032175i,0.25915
2.3038,0.44254-0.031752i,0.19685
2.4569,0.37452-0.030042i,0.14117
2.6099,0.30438-0.026878i,0.093372
2.763,0.23255-0.022101i,0.054566
2.916,0.15944-0.015571i,0.025663
3.0691,0.085518-0.0071659i,0.0073647
3.2221,0.011247+0.0032147i,0.00013683
3.3752,-0.062895+0.015646i,0.0042006
3.5283,-0.13642+0.030177i,0.019521
3.6813,-0.20884+0.046827i,0.045806
3.8344,-0.27965+0.065583i,0.082506
3.9874,-0.34837+0.086399i,0.12883
4.1405,-0.41451+0.1092i,0.18374
4.2935,-0.47759+0.13387i,0.24602
4.4466,-0.53717+0.16025i,0.31423
4.5996,-0.5928+0.18818i,0.38682
4.7527,-0.64406+0.21742i,0.46209
4.9057,-0.69059+0.24773i,0.53828
5.0588,-0.73203+0.27883i,0.61361
5.2118,-0.76808+0.31041i,0.6863
5.3649,-0.79847+0.34214i,0.75461
5.5179,-0.82299+0.37365i,0.81693
5.671,-0.84148+0.40457i,0.87176
5.824,-0.85382+0.4345i,0.91781
5.9771,-0.85998+0.46304i,0.95397
6.1301,-0.85994+0.48979i,0.97939
6.2832,-0.85378+0.51432i,0.99347
